Year,StateID,Age,Education,Sex,Income,Race/Ethnicity,Obese,Overweight
2011,HI,45 - 54,Unknown,Unknown,Unknown,Unknown,25.0,35.7
2011,HI,55 - 64,Unknown,Unknown,Unknown,Unknown,22.8,35.2
2011,HI,65 or older,Unknown,Unknown,Unknown,Unknown,16.9,36.6
2011,HI,Unknown,College graduate,Unknown,Unknown,Unknown,15.2,34.4
2011,HI,Unknown,High school graduate,Unknown,Unknown,Unknown,24.9,34.7
2011,HI,Unknown,Less than high school,Unknown,Unknown,Unknown,27.1,28.9
2011,HI,Unknown,Some college or technical school,Unknown,Unknown,Unknown,22.8,34.0
2011,HI,Unknown,Unknown,Female,Unknown,Unknown,19.2,27.6
2011,HI,Unknown,Unknown,Male,Unknown,Unknown,24.4,39.8
2011,HI,Unknown,Unknown,Unknown,"$15,000 - $24,999",Unknown,21.2,32.8
2011,HI,Unknown,Unknown,Unknown,"$25,000 - $34,999",Unknown,21.9,30.8
2011,HI,Unknown,Unknown,Unknown,"$35,000 - $49,999",Unknown,19.9,35.0
2011,HI,Unknown,Unknown,Unknown,"$50,000 - $74,999",Unknown,28.2,32.7
2011,HI,Unknown,Unknown,Unknown,"$75,000 or greater",Unknown,21.0,36.8
2011,HI,Unknown,Unknown,Unknown,Data not reported,Unknown,15.9,30.2
2011,HI,Unknown,Unknown,Unknown,"Less than $15,000",Unknown,23.1,33.1
2011,HI,Unknown,Unknown,Unknown,Unknown,2 or more races,32.5,33.2
2011,HI,Unknown,Unknown,Unknown,Unknown,Asian,16.0,33.9
2011,HI,Unknown,Unknown,Unknown,Unknown,Hawaiian/Pacific Islander,45.5,35.9
2011,HI,Unknown,Unknown,Unknown,Unknown,Hispanic,26.8,33.3
2011,HI,Unknown,Unknown,Unknown,Unknown,Non-Hispanic White,19.0,33.1
2011,HI,Unknown,Unknown,Unknown,Unknown,Other,23.2,35.8
2011,HI,Unknown,Unknown,Unknown,Unknown,Unknown,21.8,33.8
2011,IA,18 - 24,Unknown,Unknown,Unknown,Unknown,14.4,25.6
2011,IA,25 - 34,Unknown,Unknown,Unknown,Unknown,22.8,35.7
2011,IA,35 - 44,Unknown,Unknown,Unknown,Unknown,32.7,36.7
2011,IA,45 - 54,Unknown,Unknown,Unknown,Unknown,35.6,36.7
2011,IA,55 - 64,Unknown,Unknown,Unknown,Unknown,35.6,39.1
2011,IA,65 or older,Unknown,Unknown,Unknown,Unknown,29.1,38.5
2011,IA,Unknown,College graduate,Unknown,Unknown,Unknown,23.2,37.5
2011,IA,Unknown,High school graduate,Unknown,Unknown,Unknown,33.0,35.4
2011,IA,Unknown,Less than high school,Unknown,Unknown,Unknown,28.2,33.7
2011,IA,Unknown,Some college or technical school,Unknown,Unknown,Unknown,29.0,35.7
2011,IA,Unknown,Unknown,Female,Unknown,Unknown,27.4,30.6
2011,IA,Unknown,Unknown,Male,Unknown,Unknown,30.4,40.9
2011,IA,Unknown,Unknown,Unknown,"$15,000 - $24,999",Unknown,33.8,32.2
2011,IA,Unknown,Unknown,Unknown,"$25,000 - $34,999",Unknown,32.1,38.2
2011,IA,Unknown,Unknown,Unknown,"$35,000 - $49,999",Unknown,32.7,37.1
2011,IA,Unknown,Unknown,Unknown,"$50,000 - $74,999",Unknown,33.3,38.4
2011,IA,Unknown,Unknown,Unknown,"$75,000 or greater",Unknown,25.0,38.9
2011,IA,Unknown,Unknown,Unknown,Data not reported,Unknown,20.1,31.1
2011,IA,Unknown,Unknown,Unknown,"Less than $15,000",Unknown,28.5,30.1
